artist_uri 3,N
0a1gHP0HAqALbEyxaD5Ngn,67893
0A0FS04o6zMoto8OKPsDwY,55388
0A7g2YbCA9FlyZvAG6VmKP,804
0aA1GTrIMutjIh4GlPPUVN,944
0AAUWYwZqrnuwkjMCO5OX7,1218
0abIHznUj0oKhDB29cpBZ9,2976
0acFxGm0vYIfwTX4NRlEWd,1097
0AD4odMWVQ2wUSlgxOB5Rl,1278
0aeLcja6hKzb7Uz2ou7ulP,10769
0AeOzXbHJu8q2xqILEOLEO,558
0AepkoQhYvkjEzzwIcGxdV,1830
0aeq6izGKdpdcBUkXGCHXv,665
0aeRagbqQCOKkVURrvcMrn,2439
0af5VM6xubf8EXKvoG35x6,830
0aIOdrjH5s3hJqxmKoAEUg,587
0AiTwNtYX8m4uhfU7rJ8RD,1868
0AJUYWKztkg5dnrHDIBv47,1787
0Ak6DLKHtpR6TEEnmcorKA,5295
0AkpPlFLnr0VQwZQeMGht0,648
0AKzJfX9rdEu8WOqeBLEaO,905
0alRw2BasYQZdFSJLfLbIY,2653
0aLsJXIaJ6MMCZIzaGpMaX,1364
0amtHf5yFCceg0y8YUBd1z,865
0aqrM7Fo3Ml66Kc5JAzmjt,3165
0asVlqTLu3TimnYVyY5Jxi,4148
0aTdKgInKeMlNnwWSa1YPT,612
0AunegKKH2ys98aLxq8G1A,7035
0auu2itHTxEdAMRHvx7CyG,1129
0AuW7OCyKfFrsMbtHrYgIV,8993
0AUwa5xmiy57qdGlOksvea,922
0AuZVHIr5WSEBbBLZwWwWc,549
0av074qUwLn5eyzwqoq3xh,3079
0AVE7rDx4X9w0pW1XlN1om,637
0awl5piYwO0CDTHEkCjUhn,15666
0AZ3VR0YbFcS0Kgei7L2QF,560
0b2GL7Y02vu50qieoQmw1w,2408
0b2XeWDPeBiLeskT6RFqMb,3247
0b3fYxnG6tlR0zLtBJd8DF,1326
0B0NzcRnTARbZc83a34cDd,535
0B2SlMW40Hs9mijOi1cDyf,5482
0B3N0ZINFWvizfa8bKiz4v,8232
0B6QEFtRnneEzb4iqjI0Nw,827
0B7Y5KDNScTBzeN7DY74YG,2477
0B8XBGloduGCBtRK8nm2YF,1722
0bbguzUos4LO6NikkdXdzw,871
0bbvrSsm0Dh4erBbE1dhHD,522
0BBwlSQvHHtahgYpLj1wJE,1135
0bc7dhY6YXL35m1G0jVwuW,3578
0bdfiayQAKewqEvaU6rXCv,26364
0bdJZl7TDeiymDYzMJnVh2,3927
0BEI7i5sgUuivcfwXLzFmM,1204
0BEYTctVmnYa5yStp4Jpab,2716
0bfX8pF8kuHNCs57Ms4jZb,3555
0bGGvfpbJAFYj1rX6ScbbJ,774
0BkAYxgwF9VQiid4wI07yJ,605
0blJzvevdXrp21YeI2vbco,1249
0BmLNz4nSLfoWYW1cYsElL,3692
0bOlhT8OcoC1lCpN69NcFP,2729
0botW5W7KGHTm8BkLemEH8,735
0BrPKSAeplwezYR1T2DF9s,522
0bRtSoJSpQdnbB3dWrWprR,884
0bShb58TO0fM5jOjXhB1WT,640
0bsV0sUjnCuCTYOnNHQl3E,659
0bTwqu2kHGHJyomMDAGpkK,1452
0BuvqDNQaCHcKJLCbK0M3P,3077
0BvkDsjIUla7X0k6CSWh1I,146260
0Bvs8yPjrQSbmVIRqSg1Sp,6344
0BvwGBAFqNeDqjkeoxRlm6,1250
0BVWMc7JEHdh2Ku6xgKuYL,1178
0bvwPCit9Yh0yVdLKGnXRi,3224
0bxqbGrU4OdgDQNGs9DYp4,725
0bz9hDpUbAw5JElgEiuIYZ,13951
0BZ3BHzfYwpd3k5TDnvAz8,531
0bZCak2tcRMY1dzEIuwF42,5620
0bzfPKdbXL5ezYW2z3UGQj,5972
0c2yelD6HE33WZYXbn8CEJ,1050
0c173mlxpT3dSFRgMO8XPh,192473
0C0XlULifJtAgn6ZNCW2eu,81685
0C8ZW7ezQVs4URX5aX7Kqx,96827
0cA5Tg15TwARIRZeiNT1RO,1929
0caLxEeeNrpE0noxdInoGe,547
0Cav8jyZKAHMFbAusOmjku,2122
0CbeG1224FS58EUx4tPevZ,4939
0cc6vw3VN8YlIcvr1v7tBL,20601
0CCqHvxGgfjJzwzQzmPlEr,1571
0Cd6nHYwecCNM1sVEXKlYr,19549
0CdbG1eHVjqjkQsGoH2u1V,2984
0CDUUM6KNRvgBFYIbWxJwV,7491
0CEc9lghR3yQlU6W4jL1nj,647
0CEFCo8288kQU7mJi25s6E,22401
0CEK8AzyeD5ZUdUloB6yQV,650
0CF71zaDOJWCynIkW9bSK8,2888
0cGUm45nv7Z6M6qdXYQGTX,38785
0Chxmm4XMM87mJOHvyiUzL,4942
0chxndMxE0AhAeYED1Ay9d,595
0CHypT4Ez38PqvLQqxKkbK,1547
0ciTdf9bGl9L3JM1Z0nLCT,826
0CIwCGmQMqHqiblnZlFia1,3399
0CjWKoS55T7DOt0HJuwF1H,1198
0CKa42Jqrc9fSFbDjePaXP,4281
0ckkj0a9CvIJr4h84B0OlN,997
0clhXvKQeY8xOFIXwePnyR,672
0cLrgpG3pW4MX4nD8h6qCc,1079
0CMA9KfXvc2MB5U6uefQk6,531
0cmBbO2sr4w0rRGt3rKvs6,762
0CMVsLgjlp9Tk02TikMAQK,671
0cmWgDlu9CwTgxPhf403hb,15749
0cng44S55pPu1nDrtFFy7r,3548
0cOVRC8EOwDwXrs3JTrRN5,1753
0cQbJU1aAzvbEmTuljWLlF,21092
0CqDqmyIQ9VQHQp52OEbB0,4903
0cQuYRSzlItquYxsQKDvVc,5092
0cRX0gc8vmwKmV0RWqCV2L,1856
0cshCXEe1I7wlRwdrL91ZQ,3046
0Cu32uCaqDJYQADOev92Et,1332
0cuW2lF0YWb9VUyHOnvnsO,10250
0CV4DAO1wV3ikZGYIkMtmh,787
0cwmNvclzPd8mQnoHuIksj,2556
0CXywp8jAy9xMF9sA67bXi,915
0cylxW7HGdK9xMdubw2oYW,3419
0czJqnJDu3vWrLHmsbLunu,560
0cZPTEmf3mlwj5kjVXR4po,1985
0d1j4VJ7gzAJaDslzmjTF0,2510
0d2BmAcZ7p8vrtBPY48WMW,702
0d7aBBLFcc4dlETnae6zcH,1334
0DAaoRtoM8z0DHIhIzP4mJ,1367
0DAqhikcMKLo2lPADVz2fs,1857
0daqkBcaVRoQwHAPZ5Pp9l,581
0daugAjUgbJSqdlyYNwIbT,7356
0DchahWJGQqrqr8PMM5zQD,2052
0dCKce6tJJdHvlWnDMwzPW,3897
0Dct2Gu0qEbgGRjfaxew8g,875
0DCw6lHkzh9t7f8Hb4Z0Sx,757
0DdDnziut7wOo6cAYWVZC5,2280
0dE9ooTNz8iEKIKItRI66t,1180
0deIjoDjl9g9Zpw0sCIOHh,2124
0dEvJpkqhrcn64d3oI8v79,15234
0dgnITyIAN4NrmUVisvxHU,2811
0DgsuiMZylmPOYkrVOqNYQ,626
0DjAjUeZwSixK0dRwplBXb,3756
0djV4iaxhNfYWpH60ia85o,913
0DK7FqcaL3ks9TfFn9y1sD,1983
0dlOr0VIysztGWvU1dpjmP,4787
0dlr1FsAcalNnpq1q2RIoT,1165
0dlwjJe4kg9TgOMN184bJF,2641
